name,collection,available,description,year,medium,size,slug,imageUrl
Ocean of Love,Acqua,false,"Not Available. Sold to private collection in Spain.

On this great planet lie deep, vast oceans with their cool refreshing waters, their tranquil scenery, and their hidden mysteries. People often go to the seashore to bathe in these waters or gaze upon their beauty. There is another ocean, far greater than the physical waters of this earth. It is an ocean that is far more permanent than the seas. It is an ocean that nourishes the soul. Furthermore, it is the ocean of spiritual consciousness, waiting to be tapped within each of us. It lies within, waiting to be discovered. Furthermore, it is there for everyone who seeks it. The ocean of spiritual consciousness is an ocean of love.",2020,Acrylic on canvas,60x60 cm,ocean-of-love,https://qwrjtjenhdrp3y1x.public.blob.vercel-storage.com/imported-paintings/ocean-of-love.jpg
Ascending,Acqua,false,"Not Available. Sold to private collection in Spain.

The dolphins are ascending, as an experience that gives freedom to their soul. Ascension arrives when the soul frees itself from earthly ties and realizes the true joy of life. I wanted to depict an inner rebirth and expansion of the mind, body, and spirit. In other words, the experience of a new being hidden and dwelling within each one of us. An upgrading process that can show a better understanding of ourselves.

This will be one of your masterpieces, those that will always be in the books when you will be talked about as a painter… You can tell that you are transmitting something from above because the words do not explain what it feels like to look at your work... it's like a meditative ecstasy. You live it and when you come back it seems like a dream…
- Nausicaa Vaccaro",2022,Acrylic on canvas,90x60 cm,ascending,https://qwrjtjenhdrp3y1x.public.blob.vercel-storage.com/imported-paintings/ascending.jpg
Leaving the Matrix,Acqua,true,"We can leave the matrix of illusion and the entrapment of samsara instead of becoming enslaved by it. Regardless of how dark it may all seem, there are always ways to find our way towards the light.",2021,Acrylic on round canvas,60x60 cm,leaving-the-matrix,https://qwrjtjenhdrp3y1x.public.blob.vercel-storage.com/imported-paintings/leaving-the-matrix.jpg
Just Breathe,Acqua,false,"Breathe into the power of presence. When the challenges and pressure seem too much to bear, just focus on the breath to feel the peace that is always within you. Anchor yourself on the breath to calm your emotions and your worries. Just breathe.

Acrylic on Canvas / 80 × 40 cm.",2020,Acrylic on canvas,100x50 cm,just-breathe,https://qwrjtjenhdrp3y1x.public.blob.vercel-storage.com/imported-paintings/just-breathe.jpg
There is Always an Opportunity,Acqua,false,"Everybody has a second opportunity, no matter what you may have done in the past or how unfit you feel. There is always a window of opportunity open for those that are able to question themselves and change to a more wholesome direction.",2022,Acrylic on canvas,60x60 cm,there-is-always-an-opportunity,https://qwrjtjenhdrp3y1x.public.blob.vercel-storage.com/imported-paintings/there-is-always-an-opportunity.jpg
Going With the Flow,Acqua,true,"What does “going with the flow mean”? The origin dates back to the Roman Emperor Marcus Aurelius. He apparently encouraged people not to waste energy and fight against what you cannot change, but rather to accept things as they are instead of fighting against them and wishing things were different.

This turtle represents the epitome of going with the flow.",2021,Acrylic on canvas,50x100 cm,going-with-the-flow,https://qwrjtjenhdrp3y1x.public.blob.vercel-storage.com/imported-paintings/going-with-the-flow.jpg
Don't Worry be Happy,Acqua,true,"Trouble and challenges in everyone’s life are guaranteed, but by worrying it only becomes worse. Society frowns upon people who do not appear to worry about their lives’ problems and often deem such people as detached or foolish. It could not be further from the truth. When we stop worrying about the future and imagining worst case scenarios in our head, then we can enjoy the present moment like this betta fish. Only then, we can dance happily in the now.",2021,Acrylic on canvas,40x100 cm,dont-worry-be-happy,https://qwrjtjenhdrp3y1x.public.blob.vercel-storage.com/imported-paintings/dont-worry-be-happy.jpg
Floating Away,Acqua,true,"When we are able to let go of the worry, let it float away like a weightless jellyfish, we free ourselves from further burden and open the door to all that is right for us.",2022,Acrylic on canvas,80x80 cm,floating-away,https://qwrjtjenhdrp3y1x.public.blob.vercel-storage.com/imported-paintings/floating-away.jpg
Planetary Ascension,Ascension Series,false,"SOLD TO PRIVATE COLLECTOR IN BELGIUM.

The ultimate goal for our planet at this time is to attain a higher vibratory frequency so we can activate the energy of ""Mass Planetary Ascension."" When this occurs, a very high vibrational crystalline energy will be released and integrated into the grid systems of the Earth. This energy is the energy of oneness and unconditional love.

Those of us who choose service to others over service to self will be able to walk up this amazing starway of enlightenment.",2022,Acrylic on canvas,60x90 cm,planetary-ascension,https://qwrjtjenhdrp3y1x.public.blob.vercel-storage.com/imported-paintings/planetary-ascension.jpg
Kundalini Rising,Healing,false,"Donated to charity initiative in Spain.

There are many practices (yoga, dance, mantras, meditation…) to activate the energy at the base of our spine and channel it up through the chakra centers,  aiming at  a full-body Kundalini awakening. I wanted to depict here what those energy centers could look like.",2020,Acrylic on canvas,40x100 cm,kundalini-rising,https://qwrjtjenhdrp3y1x.public.blob.vercel-storage.com/imported-paintings/kundalini-rising.jpg
